SOC_2020,ISCO-08,SOC2020_job_title,ISCO08_job_title
4131,4110,Records clerks and assistants,General Office Clerks
4136,4416,Human resources administrative occupations,Personnel Clerks
4134,4323,Transport and distribution clerks and assistants,Transport Clerks
6212,4221,Travel agents,Travel Consultants and Clerks
3549,3314,Business associate professionals n.e.c.,"Statistical, Mathematical and Related Associate Professionals"
3549,3314,Business associate professionals n.e.c.,"Statistical, Mathematical and Related Associate Professionals"
3533,3313,Financial and accounting technicians,Accounting Associate Professionals
2329,1345,Other educational professionals n.e.c,Education Managers
4122,4313,"Book-keepers, payroll managers and wages clerks",Payroll Clerks
4131,3344,Records clerks and assistants,Medical Secretaries
4133,4321,Stock control clerks and assistants,Stock Clerks
4159,4419,Other administrative occupations n.e.c.,Clerical Support Workers Not Elsewhere Classified
3133,3514,Database administrators and web content technicians,Web Technicians
4159,4110,Other administrative occupations n.e.c.,General Office Clerks
4129,4312,Financial administrative occupations n.e.c.,"Statistical, Finance and Insurance Clerks"
4113,4110,Officers of non-governmental organisations,General Office Clerks
4151,4419,Sales administrators,Clerical Support Workers Not Elsewhere Classified
4111,4110,National government administrative occupations,General Office Clerks
4129,4312,Financial administrative occupations n.e.c.,"Statistical, Finance and Insurance Clerks"
4111,1112,National government administrative occupations,Senior Government Officials
4113,4110,Officers of non-governmental organisations,General Office Clerks
2329,1345,Other educational professionals n.e.c,Education Managers
3560,1342,Public services associate professionals,Health Services Managers
4136,4416,Human resources administrative occupations,Personnel Clerks
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
4212,3342,Legal secretaries,Legal Secretaries
3120,3112,"CAD, drawing and architectural technicians",Civil Engineering Technicians
4112,4110,Local government administrative occupations,General Office Clerks
4112,4110,Local government administrative occupations,General Office Clerks
4136,4416,Human resources administrative occupations,Personnel Clerks
4213,4110,School secretaries,General Office Clerks
4113,4110,Officers of non-governmental organisations,General Office Clerks
4136,4416,Human resources administrative occupations,Personnel Clerks
4159,4110,Other administrative occupations n.e.c.,General Office Clerks
4159,4226,Other administrative occupations n.e.c.,Receptionists (general)
4215,4120,Personal assistants and other secretaries,Secretaries (general)
1161,110,Officers in armed forces,Commissioned Armed Forces Officers
1161,110,Officers in armed forces,Commissioned Armed Forces Officers
3554,2431,Advertising and marketing associate professionals,Advertising and Marketing Professionals
2323,2351,Education advisers and school inspectors,Education Methods specialists
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
3113,3115,Engineering technicians,Mechanical Engineering Technicians
2112,2132,Biological scientists,"Farming, Forestry and Fisheries Advisers"
3416,2654,"Arts officers, producers and directors","Film, Stage and Related Directors and Producers"
3416,2654,"Arts officers, producers and directors","Film, Stage and Related Directors and Producers"
3549,2422,Business associate professionals n.e.c.,Policy Administration Professionals
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
6222,5142,Beauticians and related occupations,Beauticians and Related Workers
4112,3353,Local government administrative occupations,Government Social Benefits Officials
4111,3353,National government administrative occupations,Government Social Benefits Officials
4112,3353,Local government administrative occupations,Government Social Benefits Officials
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
2431,2421,Management consultants and business analysts,Management and Organization Analysts
3574,2424,Other vocational and industrial trainers,Training and Staff Development Professionals
7219,4225,Customer service occupations n.e.c.,Inquiry Clerks
4131,3359,Records clerks and assistants,Government Regulatory Associate Professionals Not Elsewhere Classified
3572,2423,Careers advisers and vocational guidance specialists,Personnel and Careers Professionals
3572,2423,Careers advisers and vocational guidance specialists,Personnel and Careers Professionals
5436,5120,Catering and bar managers,Cooks
3549,3323,Business associate professionals n.e.c.,Buyers
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
4111,3353,National government administrative occupations,Government Social Benefits Officials
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
4111,3353,National government administrative occupations,Government Social Benefits Officials
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
2439,2422,"Business, research and administrative professionals n.e.c.",Policy Administration Professionals
2151,2133,Conservation professionals,Environmental Protection Professionals
3581,3359,Inspectors of standards and regulations,Government Regulatory Associate Professionals Not Elsewhere Classified
7219,4225,Customer service occupations n.e.c.,Inquiry Clerks
3549,3339,Business associate professionals n.e.c.,Business Services Agents Not Elsewhere Classified
2151,2133,Conservation professionals,Environmental Protection Professionals
7219,4225,Customer service occupations n.e.c.,Inquiry Clerks
2469,2635,Welfare professionals n.e.c.,Social Work and Counselling Professionals
2323,2351,Education advisers and school inspectors,Education Methods specialists
7112,5230,Retail cashiers and check-out operators,Cashiers and Ticket Clerks
9241,9334,Shelf fillers,Shelf Fillers
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
4129,4312,Financial administrative occupations n.e.c.,"Statistical, Finance and Insurance Clerks"
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
7111,5223,Sales and retail assistants,Shop Sales Assistants
7219,4225,Customer service occupations n.e.c.,Inquiry Clerks
4111,3353,National government administrative occupations,Government Social Benefits Officials
3224,2635,Counsellors,Social Work and Counselling Professionals
2323,2351,Education advisers and school inspectors,Education Methods specialists
3574,2424,Other vocational and industrial trainers,Training and Staff Development Professionals
2431,2421,Management consultants and business analysts,Management and Organization Analysts
3574,2424,Other vocational and industrial trainers,Training and Staff Development Professionals
3219,3259,Health associate professionals n.e.c.,Health Associate Professionals Not Elsewhere Classified
4121,3312,Credit controllers,Credit and Loans Officers
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
3571,2423,Human resources and industrial relations officers,Personnel and Careers Professionals
2433,2631,"Actuaries, economists and statisticians",Economists
2323,2351,Education advisers and school inspectors,Education Methods specialists
2323,2351,Education advisers and school inspectors,Education Methods specialists
3582,2263,Health and safety managers and officers,Environmental and Occupational Health and Hygiene Professionals
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,3353,National government administrative occupations,Government Social Benefits Officials
4112,3353,Local government administrative occupations,Government Social Benefits Officials
3571,2423,Human resources and industrial relations officers,Personnel and Careers Professionals
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
3582,2263,Health and safety managers and officers,Environmental and Occupational Health and Hygiene Professionals
2152,2133,Environment professionals,Environmental Protection Professionals
3571,2423,Human resources and industrial relations officers,Personnel and Careers Professionals
3571,2423,Human resources and industrial relations officers,Personnel and Careers Professionals
3571,2423,Human resources and industrial relations officers,Personnel and Careers Professionals
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
7111,5223,Sales and retail assistants,Shop Sales Assistants
3422,2163,"Clothing, fashion and accessories designers",Product and Garment Designers
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
2114,2114,Physical scientists,Geologists and Geophysicists
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
2469,2635,Welfare professionals n.e.c.,Social Work and Counselling Professionals
2259,2263,Other health professionals n.e.c.,Environmental and Occupational Health and Hygiene Professionals
2259,2263,Other health professionals n.e.c.,Environmental and Occupational Health and Hygiene Professionals
2237,3412,Other registered nursing professionals,Social Work Associate Professionals
2259,3253,Other health professionals n.e.c.,Community Health Workers
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
3582,2263,Health and safety managers and officers,Environmental and Occupational Health and Hygiene Professionals
7114,3213,Pharmacy and optical dispensing assistants,Pharmaceutical Technicians and Assistants
2129,2149,Engineering professionals n.e.c.,Engineering Professionals Not Elsewhere Classified
5315,7126,Plumbers and heating and ventilating installers and repairers,Plumbers and Pipe Fitters
2112,2132,Biological scientists,"Farming, Forestry and Fisheries Advisers"
3223,3412,Housing officers,Social Work Associate Professionals
3571,2423,Human resources and industrial relations officers,Personnel and Careers Professionals
3582,2263,Health and safety managers and officers,Environmental and Occupational Health and Hygiene Professionals
3520,3411,Legal associate professionals,Legal and Related Associate Professionals
2323,2351,Education advisers and school inspectors,Education Methods specialists
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
3574,2424,Other vocational and industrial trainers,Training and Staff Development Professionals
3574,2424,Other vocational and industrial trainers,Training and Staff Development Professionals
2419,2611,Legal professionals n.e.c.,Lawyers
2419,2619,Legal professionals n.e.c.,Legal Professionals Not Elsewhere Classified
2419,2611,Legal professionals n.e.c.,Lawyers
7211,4222,Call and contact centre occupations,Contact Centre Information Clerks
3412,3339,"Authors, writers and translators",Business Services Agents Not Elsewhere Classified
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
7211,4225,Call and contact centre occupations,Inquiry Clerks
4121,3312,Credit controllers,Credit and Loans Officers
2151,2133,Conservation professionals,Environmental Protection Professionals
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
2431,2421,Management consultants and business analysts,Management and Organization Analysts
3549,2164,Business associate professionals n.e.c.,Town and Traffic Planners
3554,2431,Advertising and marketing associate professionals,Advertising and Marketing Professionals
7220,3341,Customer service supervisors,Office Supervisors
7213,4223,Communication operators,Telephone Switchboard Operators
2211,2212,Generalist medical practitioners,Specialist Medical Practitioners 
7129,4225,Sales related occupations n.e.c.,Inquiry Clerks
4129,4211,Financial administrative occupations n.e.c.,Bank Tellers and Related Clerks
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
2422,2412,Finance and investment analysts and advisers,Financial and Investment Advisers
2259,2263,Other health professionals n.e.c.,Environmental and Occupational Health and Hygiene Professionals
2237,2221,Other registered nursing professionals,Nursing Professionals
